MGI_ID,MGI_Symbol
MGI:96882,Ly6c1
MGI:96885,Ly9
MGI:96891,Lyl1
MGI:96892,Lyn
MGI:96897,Lyz2
MGI:96902,Lyz1
MGI:96904,M6pr
MGI:96907,Marcks
MGI:96908,Mxd1
MGI:96909,Maf
MGI:96910,Maff
MGI:96911,Mafg
MGI:96912,Mag
MGI:96913,Mak
MGI:96915,Maoa
MGI:96916,Maob
MGI:96918,Mas1
MGI:96919,Ascl1
MGI:96920,Ascl2
MGI:96921,Max
MGI:96922,Mb
MGI:96923,Mbl1
MGI:96924,Mbl2
MGI:96925,Mbp
MGI:96928,Mc2r
MGI:96929,Mc3r
MGI:96930,Mcc
MGI:96932,Mcf2
MGI:96937,Mcpt1
MGI:96938,Mcpt2
MGI:96940,Mcpt4
MGI:96941,Cma1
MGI:96942,Tpsb2
MGI:96943,Tpsab1
MGI:96945,Smcp
MGI:96949,Mdk
MGI:96951,Mdm1
MGI:96952,Mdm2
MGI:96955,Slc3a2
MGI:96957,Mea1
MGI:96960,Rab8a
MGI:96963,Mep1a
MGI:96964,Mep1b
MGI:96965,Mertk
MGI:96968,Mest
MGI:96969,Met
MGI:96973,Mgat1
MGI:96974,Kitl
MGI:96975,Clec10a
MGI:96976,Mgp
MGI:96977,Mgmt
MGI:96982,Mif
MGI:96990,Mip
MGI:96995,Kmt2a
MGI:97004,Mme
MGI:97005,Mmp12
MGI:97007,Mmp10
MGI:97008,Mmp11
MGI:97009,Mmp2
MGI:97010,Mmp3
MGI:97011,Mmp9
MGI:97040,Ndst2
MGI:97043,Me1
MGI:97050,Mdh2
MGI:97051,Mdh1
MGI:97052,Mos
MGI:97054,Mov10
